rct,nodea,nodeb,map_rel
1190,1190,1191,1
1190,1190,44,1
1190,1190,1729,1
1187,1187,1188,1
1187,1187,1188,2
1186,1186,44,1
1186,1186,410,1
1186,1186,11,1
1186,1186,1989,1
1186,1186,20,1
1186,1186,96,1
1185,1185,743,1
1181,1181,531,1
1179,1179,809,1
1174,1174,1175,1
1174,1174,20,1
1174,1174,1542,1
1174,1174,2158,1
1172,1172,1173,1
1170,1170,376,1
1170,1170,100,1
1167,1167,1168,1
1167,1167,1886,1
1165,1165,143,1
1165,1165,194,1
1165,1165,580,1
1165,1165,361,1
1165,1165,1359,1
1165,1165,194,11
1165,1165,143,11
1164,1164,2,1
1162,1162,1163,1
1162,1162,44,1
1162,1162,1417,1
1161,1161,859,1
1160,1160,747,1
1157,1157,219,1
1155,1155,531,1
1155,1155,203,1
